date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-03,RS,,state,10398,258,83,True,11377239,43,91.39300,0.0248
2020-06-02,RS,,state,9919,245,82,False,11377239,43,87.18284,0.0247
2020-06-01,RS,,state,9496,232,81,False,11377239,43,83.46489,0.0244
2020-05-31,RS,,state,9332,224,80,False,11377239,43,82.02342,0.0240
2020-05-30,RS,,state,9242,218,79,False,11377239,43,81.23236,0.0236
2020-05-29,RS,,state,8843,216,78,False,11377239,43,77.72536,0.0244
2020-05-28,RS,,state,8234,213,77,False,11377239,43,72.37257,0.0259
2020-05-27,RS,,state,7048,209,76,False,11377239,43,61.94825,0.0297
2020-05-26,RS,,state,6785,203,75,False,11377239,43,59.63661,0.0299
2020-05-25,RS,,state,6559,197,74,False,11377239,43,57.65019,0.0300
2020-05-24,RS,,state,6470,180,73,False,11377239,43,56.86793,0.0278
2020-05-23,RS,,state,6336,176,72,False,11377239,43,55.69014,0.0278
2020-05-22,RS,,state,5918,172,71,False,11377239,43,52.01614,0.0291
2020-05-21,RS,,state,5473,166,70,False,11377239,43,48.10482,0.0303
2020-05-20,RS,,state,4973,161,69,False,11377239,43,43.71008,0.0324
2020-05-19,RS,,state,3798,160,68,False,11377239,43,33.38244,0.0421
2020-05-18,RS,,state,3750,151,67,False,11377239,43,32.96055,0.0403
2020-05-17,RS,,state,3735,144,66,False,11377239,43,32.82870,0.0386
2020-05-16,RS,,state,3734,138,65,False,11377239,43,32.81991,0.0370
2020-05-15,RS,,state,3695,132,64,False,11377239,43,32.47712,0.0357
2020-05-14,RS,,state,3101,126,63,False,11377239,43,27.25617,0.0406
2020-05-13,RS,,state,2997,120,62,False,11377239,43,26.34207,0.0400
2020-05-12,RS,,state,2917,111,61,False,11377239,43,25.63891,0.0381
2020-05-11,RS,,state,2808,105,60,False,11377239,43,24.68086,0.0374
2020-05-10,RS,,state,2576,100,59,False,11377239,43,22.64170,0.0388
2020-05-09,RS,,state,2542,97,58,False,11377239,43,22.34285,0.0382
2020-05-08,RS,,state,2493,95,57,False,11377239,43,21.91217,0.0381
2020-05-07,RS,,state,2182,91,56,False,11377239,43,19.17864,0.0417
2020-05-06,RS,,state,2100,90,55,False,11377239,43,18.45791,0.0429
2020-05-05,RS,,state,2019,83,54,False,11377239,43,17.74596,0.0411
2020-05-04,RS,,state,1768,76,53,False,11377239,43,15.53980,0.0430
2020-05-03,RS,,state,1690,67,52,False,11377239,43,14.85422,0.0396
2020-05-02,RS,,state,1666,65,51,False,11377239,43,14.64327,0.0390
2020-05-01,RS,,state,1619,62,50,False,11377239,43,14.23017,0.0383
2020-04-30,RS,,state,1529,58,49,False,11377239,43,13.43911,0.0379
2020-04-29,RS,,state,1420,51,48,False,11377239,43,12.48106,0.0359
2020-04-28,RS,,state,1350,49,47,False,11377239,43,11.86580,0.0363
2020-04-27,RS,,state,1256,45,46,False,11377239,43,11.03959,0.0358
2020-04-26,RS,,state,1208,38,45,False,11377239,43,10.61769,0.0315
2020-04-25,RS,,state,1166,35,44,False,11377239,43,10.24853,0.0300
2020-04-24,RS,,state,1096,34,43,False,11377239,43,9.63327,0.0310
2020-04-23,RS,,state,1039,29,42,False,11377239,43,9.13227,0.0279
2020-04-22,RS,,state,970,28,41,False,11377239,43,8.52579,0.0289
2020-04-21,RS,,state,918,27,40,False,11377239,43,8.06874,0.0294
2020-04-20,RS,,state,904,27,39,False,11377239,43,7.94569,0.0299
2020-04-19,RS,,state,869,26,38,False,11377239,43,7.63806,0.0299
2020-04-18,RS,,state,854,24,37,False,11377239,43,7.50621,0.0281
2020-04-17,RS,,state,831,24,36,False,11377239,43,7.30406,0.0289
2020-04-16,RS,,state,792,21,35,False,11377239,43,6.96127,0.0265
2020-04-15,RS,,state,762,19,34,False,11377239,43,6.69758,0.0249
2020-04-14,RS,,state,720,18,33,False,11377239,43,6.32842,0.0250
2020-04-13,RS,,state,685,17,32,False,11377239,43,6.02079,0.0248
2020-04-12,RS,,state,664,16,31,False,11377239,43,5.83621,0.0241
2020-04-11,RS,,state,653,16,30,False,11377239,43,5.73953,0.0245
2020-04-10,RS,,state,640,15,29,False,11377239,43,5.62527,0.0234
2020-04-09,RS,,state,636,14,28,False,11377239,43,5.59011,0.0220
2020-04-08,RS,,state,581,10,27,False,11377239,43,5.10669,0.0172
2020-04-07,RS,,state,555,8,26,False,11377239,43,4.87816,0.0144
2020-04-06,RS,,state,501,8,25,False,11377239,43,4.40353,0.0160
2020-04-05,RS,,state,468,7,24,False,11377239,43,4.11348,0.0150
2020-04-04,RS,,state,418,7,23,False,11377239,43,3.67400,0.0167
2020-04-03,RS,,state,410,6,22,False,11377239,43,3.60369,0.0146
2020-04-02,RS,,state,386,5,21,False,11377239,43,3.39274,0.0130
2020-04-01,RS,,state,316,5,20,False,11377239,43,2.77748,0.0158
2020-03-31,RS,,state,305,4,19,False,11377239,43,2.68079,0.0131
2020-03-30,RS,,state,254,4,18,False,11377239,43,2.23253,0.0157
2020-03-29,RS,,state,230,2,17,False,11377239,43,2.02158,0.0087
2020-03-28,RS,,state,200,2,16,False,11377239,43,1.75790,0.0100
2020-03-27,RS,,state,197,2,15,False,11377239,43,1.73153,0.0102
2020-03-26,RS,,state,190,1,14,False,11377239,43,1.67000,0.0053
2020-03-25,RS,,state,162,1,13,False,11377239,43,1.42390,0.0062
2020-03-24,RS,,state,112,0,12,False,11377239,43,0.98442,0.0000
2020-03-23,RS,,state,96,0,11,False,11377239,43,0.84379,0.0000
2020-03-22,RS,,state,77,0,10,False,11377239,43,0.67679,0.0000
2020-03-21,RS,,state,69,0,9,False,11377239,43,0.60647,0.0000
2020-03-20,RS,,state,43,0,8,False,11377239,43,0.37795,0.0000
2020-03-19,RS,,state,31,0,7,False,11377239,43,0.27247,0.0000
2020-03-18,RS,,state,19,0,6,False,11377239,43,0.16700,0.0000
2020-03-16,RS,,state,8,0,5,False,11377239,43,0.07032,0.0000
2020-03-13,RS,,state,4,0,4,False,11377239,43,0.03516,0.0000
2020-03-12,RS,,state,4,0,3,False,11377239,43,0.03516,0.0000
2020-03-11,RS,,state,2,0,2,False,11377239,43,0.01758,0.0000
2020-03-10,RS,,state,1,0,1,False,11377239,43,0.00879,0.0000
2020-06-03,RS,Agudo,city,1,0,6,True,16461,4300109,6.07497,0.0000
2020-06-02,RS,Agudo,city,1,0,5,False,16461,4300109,6.07497,0.0000
2020-06-01,RS,Agudo,city,1,0,4,False,16461,4300109,6.07497,0.0000
2020-05-31,RS,Agudo,city,1,0,3,False,16461,4300109,6.07497,0.0000
2020-05-30,RS,Agudo,city,1,0,2,False,16461,4300109,6.07497,0.0000
2020-05-29,RS,Agudo,city,1,0,1,False,16461,4300109,6.07497,0.0000
2020-06-03,RS,Ajuricaba,city,2,0,52,True,7024,4300208,28.47380,0.0000
2020-06-02,RS,Ajuricaba,city,2,0,51,False,7024,4300208,28.47380,0.0000
2020-06-01,RS,Ajuricaba,city,2,0,50,False,7024,4300208,28.47380,0.0000
2020-05-31,RS,Ajuricaba,city,2,0,49,False,7024,4300208,28.47380,0.0000
2020-05-30,RS,Ajuricaba,city,2,0,48,False,7024,4300208,28.47380,0.0000
2020-05-29,RS,Ajuricaba,city,2,0,47,False,7024,4300208,28.47380,0.0000
2020-05-28,RS,Ajuricaba,city,2,0,46,False,7024,4300208,28.47380,0.0000
2020-05-27,RS,Ajuricaba,city,2,0,45,False,7024,4300208,28.47380,0.0000
2020-05-26,RS,Ajuricaba,city,2,0,44,False,7024,4300208,28.47380,0.0000
2020-05-25,RS,Ajuricaba,city,2,0,43,False,7024,4300208,28.47380,0.0000
2020-05-24,RS,Ajuricaba,city,2,0,42,False,7024,4300208,28.47380,0.0000
2020-05-23,RS,Ajuricaba,city,2,0,41,False,7024,4300208,28.47380,0.0000
2020-05-22,RS,Ajuricaba,city,2,0,40,False,7024,4300208,28.47380,0.0000
2020-05-21,RS,Ajuricaba,city,2,0,39,False,7024,4300208,28.47380,0.0000
2020-05-20,RS,Ajuricaba,city,1,0,38,False,7024,4300208,14.23690,0.0000
2020-05-19,RS,Ajuricaba,city,1,0,37,False,7024,4300208,14.23690,0.0000
2020-05-18,RS,Ajuricaba,city,1,0,36,False,7024,4300208,14.23690,0.0000
2020-05-17,RS,Ajuricaba,city,1,0,35,False,7024,4300208,14.23690,0.0000
2020-05-16,RS,Ajuricaba,city,1,0,34,False,7024,4300208,14.23690,0.0000
2020-05-15,RS,Ajuricaba,city,1,0,33,False,7024,4300208,14.23690,0.0000
2020-05-14,RS,Ajuricaba,city,1,0,32,False,7024,4300208,14.23690,0.0000
2020-05-13,RS,Ajuricaba,city,1,0,31,False,7024,4300208,14.23690,0.0000
2020-05-12,RS,Ajuricaba,city,1,0,30,False,7024,4300208,14.23690,0.0000
2020-05-11,RS,Ajuricaba,city,1,0,29,False,7024,4300208,14.23690,0.0000
2020-05-10,RS,Ajuricaba,city,1,0,28,False,7024,4300208,14.23690,0.0000
2020-05-09,RS,Ajuricaba,city,1,0,27,False,7024,4300208,14.23690,0.0000
2020-05-08,RS,Ajuricaba,city,1,0,26,False,7024,4300208,14.23690,0.0000
2020-05-07,RS,Ajuricaba,city,1,0,25,False,7024,4300208,14.23690,0.0000
2020-05-06,RS,Ajuricaba,city,1,0,24,False,7024,4300208,14.23690,0.0000
2020-05-05,RS,Ajuricaba,city,1,0,23,False,7024,4300208,14.23690,0.0000
2020-05-04,RS,Ajuricaba,city,1,0,22,False,7024,4300208,14.23690,0.0000
2020-05-03,RS,Ajuricaba,city,1,0,21,False,7024,4300208,14.23690,0.0000
2020-05-02,RS,Ajuricaba,city,1,0,20,False,7024,4300208,14.23690,0.0000
2020-05-01,RS,Ajuricaba,city,1,0,19,False,7024,4300208,14.23690,0.0000
2020-04-30,RS,Ajuricaba,city,1,0,18,False,7024,4300208,14.23690,0.0000
2020-04-29,RS,Ajuricaba,city,1,0,17,False,7024,4300208,14.23690,0.0000
2020-04-28,RS,Ajuricaba,city,1,0,16,False,7024,4300208,14.23690,0.0000
2020-04-27,RS,Ajuricaba,city,1,0,15,False,7024,4300208,14.23690,0.0000
2020-04-26,RS,Ajuricaba,city,1,0,14,False,7024,4300208,14.23690,0.0000
2020-04-25,RS,Ajuricaba,city,1,0,13,False,7024,4300208,14.23690,0.0000
2020-04-24,RS,Ajuricaba,city,1,0,12,False,7024,4300208,14.23690,0.0000
2020-04-23,RS,Ajuricaba,city,1,0,11,False,7024,4300208,14.23690,0.0000
2020-04-22,RS,Ajuricaba,city,1,0,10,False,7024,4300208,14.23690,0.0000
2020-04-21,RS,Ajuricaba,city,1,0,9,False,7024,4300208,14.23690,0.0000
2020-04-20,RS,Ajuricaba,city,1,0,8,False,7024,4300208,14.23690,0.0000
2020-04-19,RS,Ajuricaba,city,1,0,7,False,7024,4300208,14.23690,0.0000
2020-04-18,RS,Ajuricaba,city,1,0,6,False,7024,4300208,14.23690,0.0000
2020-04-17,RS,Ajuricaba,city,1,0,5,False,7024,4300208,14.23690,0.0000
2020-04-16,RS,Ajuricaba,city,1,0,4,False,7024,4300208,14.23690,0.0000
2020-04-15,RS,Ajuricaba,city,1,0,3,False,7024,4300208,14.23690,0.0000
2020-04-14,RS,Ajuricaba,city,1,0,2,False,7024,4300208,14.23690,0.0000
2020-04-13,RS,Ajuricaba,city,1,0,1,False,7024,4300208,14.23690,0.0000
2020-06-03,RS,Alecrim,city,2,0,17,True,5950,4300307,33.61345,0.0000
2020-06-02,RS,Alecrim,city,2,0,16,False,5950,4300307,33.61345,0.0000
2020-06-01,RS,Alecrim,city,2,0,15,False,5950,4300307,33.61345,0.0000
2020-05-31,RS,Alecrim,city,2,0,14,False,5950,4300307,33.61345,0.0000
2020-05-30,RS,Alecrim,city,2,0,13,False,5950,4300307,33.61345,0.0000
2020-05-29,RS,Alecrim,city,2,0,12,False,5950,4300307,33.61345,0.0000
2020-05-28,RS,Alecrim,city,1,0,11,False,5950,4300307,16.80672,0.0000
2020-05-27,RS,Alecrim,city,1,0,10,False,5950,4300307,16.80672,0.0000
2020-05-26,RS,Alecrim,city,1,0,9,False,5950,4300307,16.80672,0.0000
2020-05-25,RS,Alecrim,city,1,0,8,False,5950,4300307,16.80672,0.0000
2020-05-24,RS,Alecrim,city,1,0,7,False,5950,4300307,16.80672,0.0000
2020-05-23,RS,Alecrim,city,1,0,6,False,5950,4300307,16.80672,0.0000
2020-05-22,RS,Alecrim,city,1,0,5,False,5950,4300307,16.80672,0.0000
2020-05-21,RS,Alecrim,city,1,0,4,False,5950,4300307,16.80672,0.0000
2020-05-20,RS,Alecrim,city,1,0,3,False,5950,4300307,16.80672,0.0000
2020-05-19,RS,Alecrim,city,1,0,2,False,5950,4300307,16.80672,0.0000
2020-05-18,RS,Alecrim,city,1,0,1,False,5950,4300307,16.80672,0.0000
2020-06-03,RS,Alegrete,city,12,0,64,True,73589,4300406,16.30678,0.0000
2020-06-02,RS,Alegrete,city,10,0,63,False,73589,4300406,13.58899,0.0000
2020-06-01,RS,Alegrete,city,9,0,62,False,73589,4300406,12.23009,0.0000
2020-05-31,RS,Alegrete,city,9,0,61,False,73589,4300406,12.23009,0.0000
2020-05-30,RS,Alegrete,city,9,0,60,False,73589,4300406,12.23009,0.0000
2020-05-29,RS,Alegrete,city,9,0,59,False,73589,4300406,12.23009,0.0000
2020-05-28,RS,Alegrete,city,9,0,58,False,73589,4300406,12.23009,0.0000
2020-05-27,RS,Alegrete,city,8,0,57,False,73589,4300406,10.87119,0.0000
2020-05-26,RS,Alegrete,city,7,0,56,False,73589,4300406,9.51229,0.0000
2020-05-25,RS,Alegrete,city,6,0,55,False,73589,4300406,8.15339,0.0000
2020-05-24,RS,Alegrete,city,6,0,54,False,73589,4300406,8.15339,0.0000
2020-05-23,RS,Alegrete,city,6,0,53,False,73589,4300406,8.15339,0.0000
2020-05-22,RS,Alegrete,city,6,0,52,False,73589,4300406,8.15339,0.0000
2020-05-21,RS,Alegrete,city,6,0,51,False,73589,4300406,8.15339,0.0000
2020-05-20,RS,Alegrete,city,5,0,50,False,73589,4300406,6.79449,0.0000
2020-05-19,RS,Alegrete,city,4,0,49,False,73589,4300406,5.43559,0.0000
2020-05-18,RS,Alegrete,city,4,0,48,False,73589,4300406,5.43559,0.0000
2020-05-17,RS,Alegrete,city,4,0,47,False,73589,4300406,5.43559,0.0000
2020-05-16,RS,Alegrete,city,4,0,46,False,73589,4300406,5.43559,0.0000
2020-05-15,RS,Alegrete,city,4,0,45,False,73589,4300406,5.43559,0.0000
2020-05-14,RS,Alegrete,city,4,0,44,False,73589,4300406,5.43559,0.0000
2020-05-13,RS,Alegrete,city,4,0,43,False,73589,4300406,5.43559,0.0000
2020-05-12,RS,Alegrete,city,4,0,42,False,73589,4300406,5.43559,0.0000
2020-05-11,RS,Alegrete,city,4,0,41,False,73589,4300406,5.43559,0.0000
2020-05-10,RS,Alegrete,city,3,0,40,False,73589,4300406,4.07670,0.0000
2020-05-09,RS,Alegrete,city,3,0,39,False,73589,4300406,4.07670,0.0000
2020-05-08,RS,Alegrete,city,3,0,38,False,73589,4300406,4.07670,0.0000
2020-05-07,RS,Alegrete,city,2,0,37,False,73589,4300406,2.71780,0.0000
2020-05-06,RS,Alegrete,city,2,0,36,False,73589,4300406,2.71780,0.0000
2020-05-05,RS,Alegrete,city,2,0,35,False,73589,4300406,2.71780,0.0000
2020-05-04,RS,Alegrete,city,1,0,34,False,73589,4300406,1.35890,0.0000
2020-05-03,RS,Alegrete,city,1,0,33,False,73589,4300406,1.35890,0.0000
2020-05-02,RS,Alegrete,city,1,0,32,False,73589,4300406,1.35890,0.0000
2020-05-01,RS,Alegrete,city,1,0,31,False,73589,4300406,1.35890,0.0000
2020-04-30,RS,Alegrete,city,1,0,30,False,73589,4300406,1.35890,0.0000
2020-04-29,RS,Alegrete,city,1,0,29,False,73589,4300406,1.35890,0.0000
2020-04-28,RS,Alegrete,city,1,0,28,False,73589,4300406,1.35890,0.0000
2020-04-27,RS,Alegrete,city,1,0,27,False,73589,4300406,1.35890,0.0000
2020-04-26,RS,Alegrete,city,1,0,26,False,73589,4300406,1.35890,0.0000
2020-04-25,RS,Alegrete,city,1,0,25,False,73589,4300406,1.35890,0.0000
2020-04-24,RS,Alegrete,city,1,0,24,False,73589,4300406,1.35890,0.0000
2020-04-23,RS,Alegrete,city,1,0,23,False,73589,4300406,1.35890,0.0000
2020-04-22,RS,Alegrete,city,1,0,22,False,73589,4300406,1.35890,0.0000
2020-04-21,RS,Alegrete,city,1,0,21,False,73589,4300406,1.35890,0.0000
2020-04-20,RS,Alegrete,city,1,0,20,False,73589,4300406,1.35890,0.0000
2020-04-19,RS,Alegrete,city,1,0,19,False,73589,4300406,1.35890,0.0000
2020-04-18,RS,Alegrete,city,1,0,18,False,73589,4300406,1.35890,0.0000
2020-04-17,RS,Alegrete,city,1,0,17,False,73589,4300406,1.35890,0.0000
2020-04-16,RS,Alegrete,city,1,0,16,False,73589,4300406,1.35890,0.0000
2020-04-15,RS,Alegrete,city,1,0,15,False,73589,4300406,1.35890,0.0000
2020-04-14,RS,Alegrete,city,1,0,14,False,73589,4300406,1.35890,0.0000
2020-04-13,RS,Alegrete,city,1,0,13,False,73589,4300406,1.35890,0.0000
2020-04-12,RS,Alegrete,city,1,0,12,False,73589,4300406,1.35890,0.0000
2020-04-11,RS,Alegrete,city,1,0,11,False,73589,4300406,1.35890,0.0000
2020-04-10,RS,Alegrete,city,1,0,10,False,73589,4300406,1.35890,0.0000
2020-04-09,RS,Alegrete,city,1,0,9,False,73589,4300406,1.35890,0.0000
2020-04-08,RS,Alegrete,city,1,0,8,False,73589,4300406,1.35890,0.0000
2020-04-07,RS,Alegrete,city,1,0,7,False,73589,4300406,1.35890,0.0000
2020-04-06,RS,Alegrete,city,1,0,6,False,73589,4300406,1.35890,0.0000
2020-04-05,RS,Alegrete,city,1,0,5,False,73589,4300406,1.35890,0.0000
2020-04-04,RS,Alegrete,city,1,0,4,False,73589,4300406,1.35890,0.0000
2020-04-03,RS,Alegrete,city,1,0,3,False,73589,4300406,1.35890,0.0000
2020-04-02,RS,Alegrete,city,1,0,2,False,73589,4300406,1.35890,0.0000
2020-04-01,RS,Alegrete,city,1,0,1,False,73589,4300406,1.35890,0.0000
2020-06-03,RS,Alpestre,city,10,0,30,True,6258,4300505,159.79546,0.0000
2020-06-02,RS,Alpestre,city,10,0,29,False,6258,4300505,159.79546,0.0000
2020-06-01,RS,Alpestre,city,10,0,28,False,6258,4300505,159.79546,0.0000
2020-05-31,RS,Alpestre,city,10,0,27,False,6258,4300505,159.79546,0.0000
2020-05-30,RS,Alpestre,city,10,0,26,False,6258,4300505,159.79546,0.0000
2020-05-29,RS,Alpestre,city,10,0,25,False,6258,4300505,159.79546,0.0000
2020-05-28,RS,Alpestre,city,10,0,24,False,6258,4300505,159.79546,0.0000
2020-05-27,RS,Alpestre,city,10,0,23,False,6258,4300505,159.79546,0.0000
2020-05-26,RS,Alpestre,city,10,0,22,False,6258,4300505,159.79546,0.0000
2020-05-25,RS,Alpestre,city,10,0,21,False,6258,4300505,159.79546,0.0000
2020-05-24,RS,Alpestre,city,10,0,20,False,6258,4300505,159.79546,0.0000
2020-05-23,RS,Alpestre,city,10,0,19,False,6258,4300505,159.79546,0.0000
2020-05-22,RS,Alpestre,city,10,0,18,False,6258,4300505,159.79546,0.0000
2020-05-21,RS,Alpestre,city,9,0,17,False,6258,4300505,143.81592,0.0000
2020-05-20,RS,Alpestre,city,9,0,16,False,6258,4300505,143.81592,0.0000
2020-05-19,RS,Alpestre,city,7,0,15,False,6258,4300505,111.85682,0.0000
2020-05-18,RS,Alpestre,city,7,0,14,False,6258,4300505,111.85682,0.0000
2020-05-17,RS,Alpestre,city,7,0,13,False,6258,4300505,111.85682,0.0000
2020-05-16,RS,Alpestre,city,7,0,12,False,6258,4300505,111.85682,0.0000
2020-05-15,RS,Alpestre,city,7,0,11,False,6258,4300505,111.85682,0.0000
2020-05-14,RS,Alpestre,city,7,0,10,False,6258,4300505,111.85682,0.0000
2020-05-13,RS,Alpestre,city,7,0,9,False,6258,4300505,111.85682,0.0000
2020-05-12,RS,Alpestre,city,7,0,8,False,6258,4300505,111.85682,0.0000
2020-05-11,RS,Alpestre,city,7,0,7,False,6258,4300505,111.85682,0.0000
2020-05-10,RS,Alpestre,city,7,0,6,False,6258,4300505,111.85682,0.0000
2020-05-09,RS,Alpestre,city,7,0,5,False,6258,4300505,111.85682,0.0000
2020-05-08,RS,Alpestre,city,7,0,4,False,6258,4300505,111.85682,0.0000
2020-05-07,RS,Alpestre,city,1,0,3,False,6258,4300505,15.97955,0.0000
2020-05-06,RS,Alpestre,city,1,0,2,False,6258,4300505,15.97955,0.0000
2020-05-05,RS,Alpestre,city,1,0,1,False,6258,4300505,15.97955,0.0000
2020-06-03,RS,Alvorada,city,74,3,77,True,210305,4300604,35.18699,0.0405
2020-06-02,RS,Alvorada,city,71,3,76,False,210305,4300604,33.76049,0.0423
2020-06-01,RS,Alvorada,city,67,3,75,False,210305,4300604,31.85849,0.0448
2020-05-31,RS,Alvorada,city,58,3,74,False,210305,4300604,27.57899,0.0517
2020-05-30,RS,Alvorada,city,58,3,73,False,210305,4300604,27.57899,0.0517
2020-05-29,RS,Alvorada,city,55,3,72,False,210305,4300604,26.15249,0.0545
2020-05-28,RS,Alvorada,city,42,3,71,False,210305,4300604,19.97099,0.0714
2020-05-27,RS,Alvorada,city,36,3,70,False,210305,4300604,17.11800,0.0833
2020-05-26,RS,Alvorada,city,32,3,69,False,210305,4300604,15.21600,0.0938
2020-05-25,RS,Alvorada,city,32,3,68,False,210305,4300604,15.21600,0.0938
2020-05-24,RS,Alvorada,city,31,2,67,False,210305,4300604,14.74050,0.0645
2020-05-23,RS,Alvorada,city,31,2,66,False,210305,4300604,14.74050,0.0645
2020-05-22,RS,Alvorada,city,30,2,65,False,210305,4300604,14.26500,0.0667
2020-05-21,RS,Alvorada,city,30,2,64,False,210305,4300604,14.26500,0.0667
2020-05-20,RS,Alvorada,city,29,2,63,False,210305,4300604,13.78950,0.0690
2020-05-19,RS,Alvorada,city,24,2,62,False,210305,4300604,11.41200,0.0833
2020-05-18,RS,Alvorada,city,23,2,61,False,210305,4300604,10.93650,0.0870
2020-05-17,RS,Alvorada,city,23,2,60,False,210305,4300604,10.93650,0.0870
2020-05-16,RS,Alvorada,city,22,2,59,False,210305,4300604,10.46100,0.0909
2020-05-15,RS,Alvorada,city,21,2,58,False,210305,4300604,9.98550,0.0952
2020-05-14,RS,Alvorada,city,21,2,57,False,210305,4300604,9.98550,0.0952
2020-05-13,RS,Alvorada,city,20,2,56,False,210305,4300604,9.51000,0.1000
2020-05-12,RS,Alvorada,city,20,2,55,False,210305,4300604,9.51000,0.1000
2020-05-11,RS,Alvorada,city,18,2,54,False,210305,4300604,8.55900,0.1111
2020-05-10,RS,Alvorada,city,15,2,53,False,210305,4300604,7.13250,0.1333
2020-05-09,RS,Alvorada,city,15,2,52,False,210305,4300604,7.13250,0.1333
2020-05-08,RS,Alvorada,city,15,2,51,False,210305,4300604,7.13250,0.1333
2020-05-07,RS,Alvorada,city,15,2,50,False,210305,4300604,7.13250,0.1333
2020-05-06,RS,Alvorada,city,15,2,49,False,210305,4300604,7.13250,0.1333
2020-05-05,RS,Alvorada,city,15,1,48,False,210305,4300604,7.13250,0.0667
2020-05-04,RS,Alvorada,city,14,1,47,False,210305,4300604,6.65700,0.0714
2020-05-03,RS,Alvorada,city,13,1,46,False,210305,4300604,6.18150,0.0769
2020-05-02,RS,Alvorada,city,13,1,45,False,210305,4300604,6.18150,0.0769
2020-05-01,RS,Alvorada,city,13,1,44,False,210305,4300604,6.18150,0.0769
2020-04-30,RS,Alvorada,city,12,1,43,False,210305,4300604,5.70600,0.0833
2020-04-29,RS,Alvorada,city,11,1,42,False,210305,4300604,5.23050,0.0909
2020-04-28,RS,Alvorada,city,11,1,41,False,210305,4300604,5.23050,0.0909
2020-04-27,RS,Alvorada,city,11,1,40,False,210305,4300604,5.23050,0.0909
2020-04-26,RS,Alvorada,city,11,1,39,False,210305,4300604,5.23050,0.0909
2020-04-25,RS,Alvorada,city,11,1,38,False,210305,4300604,5.23050,0.0909
2020-04-24,RS,Alvorada,city,10,1,37,False,210305,4300604,4.75500,0.1000
2020-04-23,RS,Alvorada,city,9,1,36,False,210305,4300604,4.27950,0.1111
2020-04-22,RS,Alvorada,city,8,1,35,False,210305,4300604,3.80400,0.1250
2020-04-21,RS,Alvorada,city,9,1,34,False,210305,4300604,4.27950,0.1111
2020-04-20,RS,Alvorada,city,9,1,33,False,210305,4300604,4.27950,0.1111
2020-04-19,RS,Alvorada,city,7,1,32,False,210305,4300604,3.32850,0.1429
2020-04-18,RS,Alvorada,city,7,1,31,False,210305,4300604,3.32850,0.1429
2020-04-17,RS,Alvorada,city,7,1,30,False,210305,4300604,3.32850,0.1429
2020-04-16,RS,Alvorada,city,7,1,29,False,210305,4300604,3.32850,0.1429
2020-04-15,RS,Alvorada,city,5,1,28,False,210305,4300604,2.37750,0.2000
2020-04-14,RS,Alvorada,city,4,1,27,False,210305,4300604,1.90200,0.2500
2020-04-13,RS,Alvorada,city,4,1,26,False,210305,4300604,1.90200,0.2500
2020-04-12,RS,Alvorada,city,5,1,25,False,210305,4300604,2.37750,0.2000
2020-04-11,RS,Alvorada,city,5,1,24,False,210305,4300604,2.37750,0.2000
2020-04-10,RS,Alvorada,city,4,1,23,False,210305,4300604,1.90200,0.2500
2020-04-09,RS,Alvorada,city,4,1,22,False,210305,4300604,1.90200,0.2500
2020-04-08,RS,Alvorada,city,4,1,21,False,210305,4300604,1.90200,0.2500
2020-04-07,RS,Alvorada,city,4,0,20,False,210305,4300604,1.90200,0.0000
2020-04-06,RS,Alvorada,city,4,0,19,False,210305,4300604,1.90200,0.0000
2020-04-05,RS,Alvorada,city,4,0,18,False,210305,4300604,1.90200,0.0000
2020-04-04,RS,Alvorada,city,3,0,17,False,210305,4300604,1.42650,0.0000
2020-04-03,RS,Alvorada,city,3,0,16,False,210305,4300604,1.42650,0.0000
2020-04-02,RS,Alvorada,city,3,0,15,False,210305,4300604,1.42650,0.0000
2020-04-01,RS,Alvorada,city,2,0,14,False,210305,4300604,0.95100,0.0000
2020-03-31,RS,Alvorada,city,2,0,13,False,210305,4300604,0.95100,0.0000
2020-03-30,RS,Alvorada,city,2,0,12,False,210305,4300604,0.95100,0.0000
2020-03-29,RS,Alvorada,city,2,0,11,False,210305,4300604,0.95100,0.0000
2020-03-28,RS,Alvorada,city,2,0,10,False,210305,4300604,0.95100,0.0000
2020-03-27,RS,Alvorada,city,2,0,9,False,210305,4300604,0.95100,0.0000
2020-03-26,RS,Alvorada,city,2,0,8,False,210305,4300604,0.95100,0.0000
2020-03-25,RS,Alvorada,city,2,0,7,False,210305,4300604,0.95100,0.0000
2020-03-24,RS,Alvorada,city,2,0,6,False,210305,4300604,0.95100,0.0000
2020-03-23,RS,Alvorada,city,2,0,5,False,210305,4300604,0.95100,0.0000
2020-03-22,RS,Alvorada,city,2,0,4,False,210305,4300604,0.95100,0.0000
2020-03-21,RS,Alvorada,city,2,0,3,False,210305,4300604,0.95100,0.0000
2020-03-20,RS,Alvorada,city,1,0,2,False,210305,4300604,0.47550,0.0000
2020-03-19,RS,Alvorada,city,1,0,1,False,210305,4300604,0.47550,0.0000
2020-06-03,RS,Ametista do Sul,city,7,0,27,True,7409,4300646,94.47969,0.0000
2020-06-02,RS,Ametista do Sul,city,6,0,26,False,7409,4300646,80.98259,0.0000
2020-06-01,RS,Ametista do Sul,city,5,0,25,False,7409,4300646,67.48549,0.0000
